Date,Open,High,Low,Close,Volume
2024-01-02,78200,79800,78200,79600,17142847
2024-01-03,78500,78800,77000,77000,21753644
2024-01-04,76100,77300,76100,76600,15324439
2024-01-05,76700,77100,76400,76600,11304316
2024-01-08,77000,77500,76400,76500,11088724
2024-01-09,77400,77700,74300,74700,26019249
2024-01-10,75000,75200,73200,73600,20259529
2024-01-11,72900,73600,72700,73200,57691266
2024-01-12,73000,74100,72800,73100,13038939
2024-01-15,73200,74000,73200,73900,13212339
2024-01-16,73500,73700,72500,72600,14760415
2024-01-17,73100,73300,71000,71000,22683660
2024-01-18,71600,72000,70700,71700,17853397
2024-01-19,73500,74700,73000,74700,23363427
2024-01-22,75900,76000,75000,75100,19673375
2024-01-23,75700,75800,74300,75200,14786224
2024-01-24,75200,75200,73500,74000,12860661
2024-01-25,74200,74800,73700,74100,11737747
2024-01-26,73700,74500,73300,73400,11160062
2024-01-29,73800,75200,73500,74400,13976521
2024-01-30,75000,75300,73700,74300,12244418
2024-01-31,73400,74000,72500,72700,15703560
2024-02-01,73000,74200,72900,73600,19881033
2024-02-02,74000,75200,73700,75200,14955881
2024-02-05,74200,74800,73500,74300,19026021
2024-02-06,74300,74700,73300,74400,14559254
2024-02-07,74600,75500,74300,75000,16566445
2024-02-08,75000,75200,73600,74100,20810708
2024-02-13,74800,75200,74400,75200,21966745
2024-02-14,73700,74300,73700,74000,12434945
2024-02-15,74200,74400,73000,73000,14120600
2024-02-16,73300,73400,72500,72800,13444781
2024-02-19,72800,73900,72800,73800,12726404
2024-02-20,73700,73700,72800,73300,14681477
2024-02-21,73400,73700,72900,73000,11503495
2024-02-22,73800,73900,72700,73100,15208934
2024-02-23,73600,74200,72900,72900,16225166
2024-02-26,72300,73200,72200,72800,14669352
2024-02-27,73100,73400,72700,72900,13201981
2024-02-28,72900,73900,72800,73200,11795859
2024-02-29,72600,73400,72000,73400,21176403
2024-03-04,74300,75000,74000,74900,23210474
2024-03-05,74600,74800,73700,73700,19505125
2024-03-06,73200,73500,72700,72900,21547905
2024-03-07,73100,73300,72200,72200,14516963
2024-03-08,72800,73400,72600,73300,19271349
2024-03-11,72900,73100,72300,72400,9740504
2024-03-12,72600,73500,72100,73300,13011654
2024-03-13,73700,74100,73500,74100,15243134
2024-03-14,74400,74500,73600,74300,22545539
2024-03-15,73400,73700,72300,72300,22580555
2024-03-18,72600,73000,72500,72800,11520348
2024-03-19,72300,73000,71700,72800,15376066
2024-03-20,73700,77200,73400,76900,50106297
2024-03-21,79200,79300,77700,79300,44569799
2024-03-22,79600,79900,77800,78900,26724761
2024-03-25,79600,79800,77800,78200,18703996
2024-03-26,79700,80100,79200,79900,30551494
2024-03-27,79200,80000,79200,79800,17424595
2024-03-28,79400,81000,79200,80800,25084812
2024-03-29,81200,82500,80900,82400,27126366
2024-04-01,83200,83300,82000,82000,20116513
2024-04-02,82900,85000,82900,85000,37077944
2024-04-03,84300,85000,83500,84100,30493347
2024-04-04,85200,85500,84300,85300,25248934
2024-04-05,84500,85000,83800,84500,18883752
2024-04-08,85200,86000,84500,84500,18953232
2024-04-09,84500,84900,83100,83600,23725956
2024-04-11,83200,84700,82500,84100,25538009
2024-04-12,84700,84900,83200,83700,17061770
2024-04-15,82900,83200,81200,82200,26663772
2024-04-16,81200,81300,79400,80000,31949845
2024-04-17,80700,80800,78900,78900,22611631
2024-04-18,78800,80100,78300,79600,21370190
2024-04-19,78300,78700,76300,77600,31317563
2024-04-22,77400,77500,75100,76100,30469477
2024-04-23,76400,76800,75500,75500,18717699
2024-04-24,77500,78800,77200,78600,22166150
2024-04-25,77300,77500,76300,76300,15549134
2024-04-26,77800,77900,76500,76700,12755629
2024-04-29,77400,77600,76200,76700,14664474
2024-04-30,77000,78500,76600,77500,19007007
2024-05-02,77600,78600,77300,78000,18900640
2024-05-03,79000,79000,77500,77600,13151889
2024-05-07,79600,81300,79400,81300,26238868
2024-05-08,80800,81400,80500,81300,13089576
2024-05-09,81100,81500,79700,79700,18759935
2024-05-10,80400,81100,78900,79200,16976124
2024-05-13,79400,79900,77600,78400,18652344
2024-05-14,78600,78800,77900,78300,11763992
2024-05-16,80200,80300,78100,78200,20989778
2024-05-17,78600,78800,77200,77400,15918201
2024-05-20,78100,79100,77900,78900,19456783
2024-05-21,78500,79000,78200,78400,13690583
2024-05-22,78100,78700,77300,77700,19521506
2024-05-23,77700,79100,77100,78300,18728087
2024-05-24,76800,77000,75700,75900,27891278
2024-05-27,75300,78200,74000,77200,43825202
2024-05-28,76500,78000,76200,77600,18539072
2024-05-29,77700,78200,75200,75200,30244875
